time,wind
2020-01-07 10:30:00,2.3287501
2020-01-08 10:30:00,3.0162501
2020-01-09 10:30:00,2.35125
2020-01-10 10:30:00,4.57125
2020-01-11 10:30:00,3.7925
2020-01-12 10:30:00,3.38875
2020-01-13 10:30:00,2.35
2020-01-14 10:30:00,2.20125
2020-01-15 10:30:00,3.16
2020-01-16 10:30:00,3.015
2020-01-17 10:30:00,2.1625
2020-01-18 10:30:00,2.32125
2020-01-19 10:30:00,2.34125
2020-01-20 10:30:00,3.13375
2020-01-21 10:30:00,4.32875
2020-01-22 10:30:00,2.8775
2020-01-23 10:30:00,4.09375
2020-01-24 10:30:00,2.01375
2020-01-25 10:30:00,2.34125
2020-01-26 10:30:00,2.7175
2020-01-27 10:30:00,2.76625
2020-01-28 10:30:00,2.41625
2020-01-29 10:30:00,2.4212499
2020-01-30 10:30:00,1.96625
2020-01-31 10:30:00,3.95
2020-02-01 10:30:00,6.365
2020-02-02 10:30:00,3.17875
2020-02-03 10:30:00,4.135
2020-02-04 10:30:00,4.7125
2020-02-05 10:30:00,3.125
2020-02-06 10:30:00,3.1399999
2020-02-07 10:30:00,2.6525
2020-02-08 10:30:00,3.1799998
2020-02-09 10:30:00,3.47375
2020-02-10 10:30:00,2.20625
2020-02-11 10:30:00,4.37375
2020-02-12 10:30:00,2.7537498
2020-02-13 10:30:00,3.3025
2020-02-14 10:30:00,2.23875
2020-02-15 10:30:00,1.92
2020-02-16 10:30:00,3.33625
2020-02-17 10:30:00,3.375
2020-02-18 10:30:00,4.48875
2020-02-19 10:30:00,2.97125
2020-02-20 10:30:00,3.26125
2020-02-21 10:30:00,4.3
2020-02-22 10:30:00,3.9012501
2020-02-23 10:30:00,3.9625
2020-02-24 10:30:00,2.50625
2020-02-25 10:30:00,2.26
2020-02-26 10:30:00,3.12375
2020-02-27 10:30:00,3.18875
2020-02-28 10:30:00,4.8175
2020-02-29 10:30:00,2.15375
2020-03-01 10:30:00,3.64375
2020-03-02 10:30:00,2.73875
2020-03-03 10:30:00,2.53125
2020-03-04 10:30:00,3.9650002
2020-03-05 10:30:00,2.8075001
2020-03-06 10:30:00,2.32625
2020-03-07 10:30:00,3.38
2020-03-08 10:30:00,3.0925
2020-03-09 10:30:00,2.38875
2020-03-10 10:30:00,4.4900002
2020-03-11 10:30:00,4.0837502
2020-03-12 10:30:00,7.13375
2020-03-13 10:30:00,4.39
2020-03-14 10:30:00,5.97125
2020-03-15 10:30:00,3.26125
2020-03-16 10:30:00,3.71875
2020-03-17 10:30:00,5.0325
2020-03-18 10:30:00,5.89125
2020-03-19 10:30:00,4.11125
2020-03-20 10:30:00,5.5625
2020-03-21 10:30:00,4.58125
2020-03-22 10:30:00,3.33625
2020-03-23 10:30:00,2.58
2020-03-24 10:30:00,3.37875
2020-03-25 10:30:00,6.4362497
2020-03-26 10:30:00,6.675
2020-03-27 10:30:00,6.8125
2020-03-28 10:30:00,4.33625
2020-03-29 10:30:00,4.4875
2020-03-30 10:30:00,4.1775
2020-03-31 10:30:00,5.29625
2020-04-01 10:30:00,5.54375
2020-04-02 10:30:00,4.245
2020-04-03 10:30:00,6.39125
2020-04-04 10:30:00,3.1575
2020-04-05 10:30:00,1.815
2020-04-06 10:30:00,4.825
2020-04-07 10:30:00,4.4975
2020-04-08 10:30:00,3.43125
2020-04-09 10:30:00,2.72375
2020-04-10 10:30:00,3.36375
2020-04-11 10:30:00,3.9425
2020-04-12 10:30:00,2.65625
2020-04-13 10:30:00,3.51125
2020-04-14 10:30:00,4.235
2020-04-15 10:30:00,5.305
2020-04-16 10:30:00,3.19
2020-04-17 10:30:00,3.0575
2020-04-18 10:30:00,4.2625
2020-04-19 10:30:00,4.45625
2020-04-20 10:30:00,7.34125
2020-04-21 10:30:00,6.275
2020-04-22 10:30:00,4.7525
2020-04-23 10:30:00,3.5375
2020-04-24 10:30:00,4.36875
2020-04-25 10:30:00,3.17875
2020-04-26 10:30:00,2.31125
2020-04-27 10:30:00,4.405
2020-04-28 10:30:00,2.32375
2020-04-29 10:30:00,3.42
2020-04-30 10:30:00,2.75625
2020-05-01 10:30:00,5.54625
2020-05-02 10:30:00,6.04
2020-05-03 10:30:00,3.77
2020-05-04 10:30:00,3.99375
2020-05-05 10:30:00,3.42375
2020-05-06 10:30:00,4.575
2020-05-07 10:30:00,3.6799998
2020-05-08 10:30:00,3.21
2020-05-09 10:30:00,2.7425
2020-05-10 10:30:00,5.51
2020-05-11 10:30:00,6.95125
2020-05-12 10:30:00,4.85625
2020-05-13 10:30:00,3.25875
2020-05-14 10:30:00,4.71125
2020-05-15 10:30:00,5.015
2020-05-16 10:30:00,2.3425
2020-05-17 10:30:00,3.1575
2020-05-18 10:30:00,4.02875
2020-05-19 10:30:00,2.6125
2020-05-20 10:30:00,2.2825
2020-05-21 10:30:00,2.95125
2020-05-22 10:30:00,2.7725
2020-05-23 10:30:00,2.72875
2020-05-24 10:30:00,5.04125
2020-05-25 10:30:00,4.51625
2020-05-26 10:30:00,3.28375
2020-05-27 10:30:00,2.47625
2020-05-28 10:30:00,2.94625
2020-05-29 10:30:00,4.31125
2020-05-30 10:30:00,3.54
2020-05-31 10:30:00,3.1512501
2020-06-01 10:30:00,4.12375
2020-06-02 10:30:00,3.81125
2020-06-03 10:30:00,3.31875
2020-06-04 10:30:00,2.305
2020-06-05 10:30:00,1.54375
2020-06-06 10:30:00,2.84625
2020-06-07 10:30:00,3.725
2020-06-08 10:30:00,4.49125
2020-06-09 10:30:00,4.5925
2020-06-10 10:30:00,3.7625
2020-06-11 10:30:00,2.8175
2020-06-12 10:30:00,2.8025
2020-06-13 10:30:00,2.21625
2020-06-14 10:30:00,4.94125
2020-06-15 10:30:00,2.8475
2020-06-16 10:30:00,3.06625
2020-06-17 10:30:00,3.08
2020-06-18 10:30:00,3.18
2020-06-19 10:30:00,2.22625
2020-06-20 10:30:00,3.2424998
2020-06-21 10:30:00,2.4575
2020-06-22 10:30:00,2.24625
2020-06-23 10:30:00,2.7525
2020-06-24 10:30:00,1.86375
2020-06-25 10:30:00,1.66
2020-06-26 10:30:00,2.28125
2020-06-27 10:30:00,2.25625
2020-06-28 10:30:00,2.4537501
2020-06-29 10:30:00,2.46125
2020-06-30 10:30:00,2.30125
2020-07-01 10:30:00,2.33
2020-07-02 10:30:00,2.3725
2020-07-03 10:30:00,2.32
2020-07-04 10:30:00,1.90125
2020-07-05 10:30:00,2.41875
2020-07-06 10:30:00,3.09
2020-07-07 10:30:00,2.61625
2020-07-08 10:30:00,2.23625
2020-07-09 10:30:00,3.1325
2020-07-10 10:30:00,4.09125
2020-07-11 10:30:00,3.01875
2020-07-12 10:30:00,2.765
2020-07-13 10:30:00,2.49
2020-07-14 10:30:00,2.25
2020-07-15 10:30:00,2.4075
2020-07-16 10:30:00,2.14
2020-07-17 10:30:00,2.31625
2020-07-18 10:30:00,3.2675
2020-07-19 10:30:00,3.45875
2020-07-20 10:30:00,3.1100001
2020-07-21 10:30:00,3.48
2020-07-22 10:30:00,2.305
2020-07-23 10:30:00,2.57625
2020-07-24 10:30:00,1.9037501
2020-07-25 10:30:00,2.4075
2020-07-26 10:30:00,3.3425
2020-07-27 10:30:00,2.61125
2020-07-28 10:30:00,2.9475
2020-07-29 10:30:00,2.1475
2020-07-30 10:30:00,2.76
2020-07-31 10:30:00,3.21625
2020-08-01 10:30:00,3.2175
2020-08-02 10:30:00,4.255
2020-08-03 10:30:00,2.4425
2020-08-04 10:30:00,3.67375
2020-08-05 10:30:00,2.4925
2020-08-06 10:30:00,2.065
2020-08-07 10:30:00,3.47
2020-08-08 10:30:00,3.08
2020-08-09 10:30:00,2.43375
2020-08-10 10:30:00,2.83375
2020-08-11 10:30:00,4.13125
2020-08-12 10:30:00,1.98375
2020-08-13 10:30:00,3.66875
2020-08-14 10:30:00,4.2525
2020-08-15 10:30:00,2.93625
2020-08-16 10:30:00,1.535
2020-08-17 10:30:00,3.28
2020-08-18 10:30:00,2.89875
2020-08-19 10:30:00,2.4275
2020-08-20 10:30:00,2.17375
2020-08-21 10:30:00,1.9625
2020-08-22 10:30:00,2.4850001
2020-08-23 10:30:00,2.35375
2020-08-24 10:30:00,2.4025002
2020-08-25 10:30:00,2.98375
2020-08-26 10:30:00,3.24375
2020-08-27 10:30:00,3.36
