time,srad
2012-08-20 10:30:00,14.3964
2012-08-21 10:30:00,25.1532
2012-08-22 10:30:00,26.19
2012-08-23 10:30:00,22.4748
2012-08-24 10:30:00,22.140001
2012-08-25 10:30:00,21.6108
2012-08-26 10:30:00,16.9668
2012-08-27 10:30:00,18.3384
2012-08-28 10:30:00,17.2152
2012-08-29 10:30:00,19.4076
2012-08-30 10:30:00,24.580801
2012-08-31 10:30:00,17.172
2012-09-01 10:30:00,17.096401
2012-09-02 10:30:00,3.2184
2012-09-03 10:30:00,9.4824
2012-09-04 10:30:00,9.018001
2012-09-05 10:30:00,20.9844
2012-09-06 10:30:00,23.6952
2012-09-07 10:30:00,19.8936
2012-09-08 10:30:00,16.5672
2012-09-09 10:30:00,16.524
2012-09-10 10:30:00,14.515201
2012-09-11 10:30:00,4.5144
2012-09-12 10:30:00,3.0240002
2012-09-13 10:30:00,12.668401
2012-09-14 10:30:00,20.9844
2012-09-15 10:30:00,21.5352
2012-09-16 10:30:00,20.736
2012-09-17 10:30:00,21.546001
2012-09-18 10:30:00,20.919601
2012-09-19 10:30:00,18.5652
2012-09-20 10:30:00,17.1936
2012-09-21 10:30:00,15.346801
2012-09-22 10:30:00,10.1952
2012-09-23 10:30:00,17.582401
2012-09-24 10:30:00,11.955601
2012-09-25 10:30:00,3.5640001
2012-09-26 10:30:00,19.7316
2012-09-27 10:30:00,2.7648
2012-09-28 10:30:00,2.7324002
2012-09-29 10:30:00,16.092001
2012-09-30 10:30:00,18.7596
2012-10-01 10:30:00,18.036001
2012-10-02 10:30:00,16.750801
2012-10-03 10:30:00,4.8708
2012-10-04 10:30:00,11.394
2012-10-05 10:30:00,17.517601
2012-10-06 10:30:00,16.8804
2012-10-07 10:30:00,15.4116
2012-10-08 10:30:00,10.3356
2012-10-09 10:30:00,3.7584002
2012-10-10 10:30:00,12.528
2012-10-11 10:30:00,13.5432005
2012-10-12 10:30:00,4.7196
2012-10-13 10:30:00,12.0312
2012-10-14 10:30:00,13.489201
2012-10-15 10:30:00,8.931601
2012-10-16 10:30:00,1.7388
2012-10-17 10:30:00,12.528
2012-10-18 10:30:00,7.938
2012-10-19 10:30:00,10.5192
2012-10-20 10:30:00,12.1716
2012-10-21 10:30:00,6.8688
2012-10-22 10:30:00,10.854
2012-10-23 10:30:00,10.7784
2012-10-24 10:30:00,6.5340004
2012-10-25 10:30:00,10.7352
2012-10-26 10:30:00,8.2404
2012-10-27 10:30:00,4.0068
2012-10-28 10:30:00,10.4544
2012-10-29 10:30:00,7.6788
2012-10-30 10:30:00,6.21
2012-10-31 10:30:00,8.305201
2012-11-01 10:30:00,10.4652
2012-11-02 10:30:00,6.9768
2012-11-03 10:30:00,3.4344
2012-11-04 10:30:00,2.7756
2012-11-05 10:30:00,7.0740004
2012-11-06 10:30:00,8.2296
2012-11-07 10:30:00,6.5664
2012-11-08 10:30:00,8.424
2012-11-09 10:30:00,6.9552
2012-11-10 10:30:00,6.156
2012-11-11 10:30:00,2.3652
2012-11-12 10:30:00,3.6288002
2012-11-13 10:30:00,5.9292
2012-11-14 10:30:00,5.4108
2012-11-15 10:30:00,8.262
2012-11-16 10:30:00,8.6724
2012-11-17 10:30:00,8.8992
2012-11-18 10:30:00,2.6136
2012-11-19 10:30:00,2.3652
2012-11-20 10:30:00,2.8512
2012-11-21 10:30:00,8.1972
2012-11-22 10:30:00,8.1108
2012-11-23 10:30:00,7.8084
2012-11-24 10:30:00,6.1992
2012-11-25 10:30:00,7.6356
2012-11-26 10:30:00,7.6896
2012-11-27 10:30:00,5.4756002
2012-11-28 10:30:00,7.4196
2012-11-29 10:30:00,7.3116
2012-11-30 10:30:00,6.4908004
2012-12-01 10:30:00,4.86
2012-12-02 10:30:00,5.2920003
2012-12-03 10:30:00,4.3308
2012-12-04 10:30:00,5.67
2012-12-05 10:30:00,6.0696
2012-12-06 10:30:00,5.7132
2012-12-07 10:30:00,6.4584002
2012-12-08 10:30:00,5.2704
2012-12-09 10:30:00,5.238
2012-12-10 10:30:00,5.2812
2012-12-11 10:30:00,6.426
2012-12-12 10:30:00,6.4476004
2012-12-13 10:30:00,6.3936
2012-12-14 10:30:00,5.4864
2012-12-15 10:30:00,5.67
2012-12-16 10:30:00,6.2748003
2012-12-17 10:30:00,6.2748003
2012-12-18 10:30:00,6.3288
2012-12-19 10:30:00,6.1992
2012-12-20 10:30:00,6.1236
2012-12-21 10:30:00,6.2208004
2012-12-22 10:30:00,6.3180003
2012-12-23 10:30:00,6.3396
2012-12-24 10:30:00,3.8772001
2012-12-25 10:30:00,6.3936
2012-12-26 10:30:00,6.3936
2012-12-27 10:30:00,6.2856
2012-12-28 10:30:00,2.6568
2012-12-29 10:30:00,3.2616
2012-12-30 10:30:00,6.4152
2012-12-31 10:30:00,1.3284
2013-01-01 10:30:00,2.538
2013-01-02 10:30:00,2.8404
2013-01-03 10:30:00,6.8256
2013-01-04 10:30:00,7.0416
2013-01-05 10:30:00,6.9768
2013-01-06 10:30:00,6.9444003
2013-01-07 10:30:00,7.0740004
2013-01-08 10:30:00,7.182
2013-01-09 10:30:00,7.2036004
2013-01-10 10:30:00,7.3008003
2013-01-11 10:30:00,6.9228
2013-01-12 10:30:00,7.3440003
2013-01-13 10:30:00,5.5512
2013-01-14 10:30:00,7.5600004
2013-01-15 10:30:00,5.616
2013-01-16 10:30:00,5.4216003
2013-01-17 10:30:00,6.5880003
2013-01-18 10:30:00,7.3872004
2013-01-19 10:30:00,8.0028
2013-01-20 10:30:00,6.3180003
2013-01-21 10:30:00,7.3980002
2013-01-22 10:30:00,8.37
2013-01-23 10:30:00,3.0672002
2013-01-24 10:30:00,8.4888
2013-01-25 10:30:00,8.7804
2013-01-26 10:30:00,8.218801
2013-01-27 10:30:00,7.3872004
2013-01-28 10:30:00,6.9552
2013-01-29 10:30:00,8.8992
2013-01-30 10:30:00,3.7152002
2013-01-31 10:30:00,7.2252
2013-02-01 10:30:00,9.4068
2013-02-02 10:30:00,9.5364
2013-02-03 10:30:00,7.3116
2013-02-04 10:30:00,9.1152
2013-02-05 10:30:00,9.8496
2013-02-06 10:30:00,7.8084
2013-02-07 10:30:00,10.1952
2013-02-08 10:30:00,10.4328
2013-02-09 10:30:00,10.0116005
2013-02-10 10:30:00,10.810801
2013-02-11 10:30:00,10.8756
2013-02-12 10:30:00,10.9512005
2013-02-13 10:30:00,10.962
2013-02-14 10:30:00,11.523601
2013-02-15 10:30:00,11.782801
2013-02-16 10:30:00,11.6532
2013-02-17 10:30:00,11.988
2013-02-18 10:30:00,10.6056
2013-02-19 10:30:00,12.6144
2013-02-20 10:30:00,12.6792
2013-02-21 10:30:00,10.530001
2013-02-22 10:30:00,13.6728
2013-02-23 10:30:00,13.986
2013-02-24 10:30:00,13.6836
2013-02-25 10:30:00,13.0572
2013-02-26 10:30:00,13.0788
2013-02-27 10:30:00,14.860801
2013-02-28 10:30:00,5.7024
2013-03-01 10:30:00,10.1736
2013-03-02 10:30:00,12.258
2013-03-03 10:30:00,13.921201
2013-03-04 10:30:00,15.1956005
2013-03-05 10:30:00,15.444
2013-03-06 10:30:00,15.2928
2013-03-07 10:30:00,15.2928
2013-03-08 10:30:00,13.6836
2013-03-09 10:30:00,3.1644
