time,lrad
2014-06-12 10:30:00,24.192001
2014-06-13 10:30:00,22.788
2014-06-14 10:30:00,22.248001
2014-06-15 10:30:00,22.8096
2014-06-16 10:30:00,25.520401
2014-06-17 10:30:00,28.3176
2014-06-18 10:30:00,24.6564
2014-06-19 10:30:00,26.179201
2014-06-20 10:30:00,27.1296
2014-06-21 10:30:00,28.609201
2014-06-22 10:30:00,22.7556
2014-06-23 10:30:00,24.850801
2014-06-24 10:30:00,26.1576
2014-06-25 10:30:00,24.613201
2014-06-26 10:30:00,28.609201
2014-06-27 10:30:00,23.6088
2014-06-28 10:30:00,25.833601
2014-06-29 10:30:00,23.8572
2014-06-30 10:30:00,27.1404
2014-07-01 10:30:00,26.622
2014-07-02 10:30:00,28.134
2014-07-03 10:30:00,29.0412
2014-07-04 10:30:00,22.4964
2014-07-05 10:30:00,25.8444
2014-07-06 10:30:00,24.580801
2014-07-07 10:30:00,28.4256
2014-07-08 10:30:00,29.2572
2014-07-09 10:30:00,27.529202
2014-07-10 10:30:00,27.248402
2014-07-11 10:30:00,28.058401
2014-07-12 10:30:00,24.7212
2014-07-13 10:30:00,27.27
2014-07-14 10:30:00,24.9372
2014-07-15 10:30:00,29.538
2014-07-16 10:30:00,28.5876
2014-07-17 10:30:00,29.4732
2014-07-18 10:30:00,25.758001
2014-07-19 10:30:00,32.9076
2014-07-20 10:30:00,31.7844
2014-07-21 10:30:00,27.5508
2014-07-22 10:30:00,24.3432
2014-07-23 10:30:00,24.3432
2014-07-24 10:30:00,22.95
2014-07-25 10:30:00,23.5872
2014-07-26 10:30:00,24.4188
2014-07-27 10:30:00,24.9696
2014-07-28 10:30:00,26.416801
2014-07-29 10:30:00,27.5508
2014-07-30 10:30:00,25.4232
2014-07-31 10:30:00,27.9612
2014-08-01 10:30:00,23.6304
2014-08-02 10:30:00,24.7752
2014-08-03 10:30:00,25.196402
2014-08-04 10:30:00,23.155201
2014-08-05 10:30:00,25.0776
2014-08-06 10:30:00,25.9848
2014-08-07 10:30:00,23.425201
2014-08-08 10:30:00,27.378
2014-08-09 10:30:00,26.730001
2014-08-10 10:30:00,30.348001
2014-08-11 10:30:00,21.276001
2014-08-12 10:30:00,21.5352
2014-08-13 10:30:00,22.939201
2014-08-14 10:30:00,28.836
2014-08-15 10:30:00,28.987202
2014-08-16 10:30:00,25.552801
2014-08-17 10:30:00,26.4384
2014-08-18 10:30:00,24.3864
2014-08-19 10:30:00,28.1124
2014-08-20 10:30:00,25.6068
2014-08-21 10:30:00,22.68
2014-08-22 10:30:00,22.8528
2014-08-23 10:30:00,26.9244
2014-08-24 10:30:00,28.2096
2014-08-25 10:30:00,29.808
2014-08-26 10:30:00,25.3152
2014-08-27 10:30:00,22.788
2014-08-28 10:30:00,23.565601
2014-08-29 10:30:00,22.734001
2014-08-30 10:30:00,23.0364
2014-08-31 10:30:00,24.2568
2014-09-01 10:30:00,28.9764
2014-09-02 10:30:00,22.5504
2014-09-03 10:30:00,25.2612
2014-09-04 10:30:00,27.118801
2014-09-05 10:30:00,23.5116
2014-09-06 10:30:00,21.794401
2014-09-07 10:30:00,26.568
2014-09-08 10:30:00,20.7252
2014-09-09 10:30:00,20.3796
2014-09-10 10:30:00,21.232801
2014-09-11 10:30:00,20.7036
2014-09-12 10:30:00,22.1292
2014-09-13 10:30:00,25.974
2014-09-14 10:30:00,21.114
2014-09-15 10:30:00,20.9304
2014-09-16 10:30:00,19.742401
2014-09-17 10:30:00,20.3256
2014-09-18 10:30:00,21.686401
2014-09-19 10:30:00,26.9676
2014-09-20 10:30:00,23.436
2014-09-21 10:30:00,23.8356
2014-09-22 10:30:00,26.028
2014-09-23 10:30:00,19.818
2014-09-24 10:30:00,19.548
2014-09-25 10:30:00,21.8052
2014-09-26 10:30:00,27.4212
2014-09-27 10:30:00,19.569601
2014-09-28 10:30:00,23.49
2014-09-29 10:30:00,17.863201
2014-09-30 10:30:00,18.7272
2014-10-01 10:30:00,17.7444
2014-10-02 10:30:00,17.6256
2014-10-03 10:30:00,18.5004
2014-10-04 10:30:00,17.4852
2014-10-05 10:30:00,18.0144
2014-10-06 10:30:00,22.485601
2014-10-07 10:30:00,18.662401
2014-10-08 10:30:00,21.8484
2014-10-09 10:30:00,23.6196
2014-10-10 10:30:00,27.0972
2014-10-11 10:30:00,26.8272
2014-10-12 10:30:00,16.5672
2014-10-13 10:30:00,16.902
2014-10-14 10:30:00,19.5048
2014-10-15 10:30:00,19.5912
2014-10-16 10:30:00,18.5976
2014-10-17 10:30:00,19.288801
2014-10-18 10:30:00,18.5976
2014-10-19 10:30:00,18.7812
2014-10-20 10:30:00,15.066
2014-10-21 10:30:00,15.5844
2014-10-22 10:30:00,17.928001
2014-10-23 10:30:00,21.1788
2014-10-24 10:30:00,21.1896
2014-10-25 10:30:00,19.5264
2014-10-26 10:30:00,17.0208
2014-10-27 10:30:00,15.8220005
2014-10-28 10:30:00,18.0792
2014-10-29 10:30:00,22.4316
2014-10-30 10:30:00,24.850801
2014-10-31 10:30:00,23.868
2014-11-01 10:30:00,17.2476
2014-11-02 10:30:00,17.064001
2014-11-03 10:30:00,18.003601
2014-11-04 10:30:00,16.1352
2014-11-05 10:30:00,15.444
2014-11-06 10:30:00,15.2172
2014-11-07 10:30:00,15.087601
2014-11-08 10:30:00,15.6168
