	269	39669	40222	289	258	186	2	-1	3
	268	40223	40682	317	254	149	2	-1	3
	267	40683	40857	277	32	14	2	-1	2
	266	40858	41536	312	176	181	2	-1	2
	265	41537	41579	-1	248	209	2	-1	3
	264	41580	41957	283	192	193	2	-1	2
	263	41958	42453	287	243	61	2	-1	5
	262	42454	42590	271	253	166	2	-1	4
	261	42591	42699	-1	146	133	2	-1	2
	260	42700	43343	287	54	46	2	-1	2
	259	43344	43560	-1	251	35	2	-1	3
	258	43561	43718	269	174	167	2	-1	2
	257	43719	44459	-1	252	196	2	-1	3
	256	44460	44710	273	183	188	2	-1	2
	255	44711	44963	318	131	125	2	-1	2
	254	44964	45132	268	171	163	2	-1	2
	253	45133	45221	262	240	177	2	-1	3
	252	45222	45289	257	206	191	2	-1	2
	251	45290	45377	259	33	23	2	-1	2
	250	45378	45722	275	90	88	2	-1	2
	249	45723	45956	324	226	66	2	-1	3
	248	45957	46167	265	199	198	2	-1	2
	247	46168	46729	-1	232	30	2	-1	3
	246	46730	47526	-1	40	38	2	-1	2
	245	47527	47994	278	224	128	2	-1	3
	244	47995	48517	281	37	31	2	-1	2
	243	48518	48771	263	229	62	2	-1	4
	242	48772	49656	-1	24	26	2	-1	2
	241	49657	50077	335	236	52	2	-1	3
	240	50078	50249	253	184	173	2	-1	2
	239	50250	50426	-1	51	55	2	-1	2
	238	50427	50908	353	81	85	2	-1	2
	237	50909	51512	279	233	165	2	-1	3
	236	51513	51564	241	45	53	2	-1	2
	235	51565	51790	346	112	114	2	-1	2
	234	51791	51922	337	83	80	2	-1	2
	233	51923	51986	237	168	160	2	-1	2
	232	51987	52179	247	28	21	2	-1	2
	231	52180	53236	292	42	39	2	-1	2
	230	53237	53882	295	180	185	2	-1	2
	229	53883	54057	243	228	74	2	-1	3
	228	54058	54073	229	73	67	2	-1	2
	227	54074	55192	293	65	57	2	-1	2
	226	55193	55458	249	77	71	2	-1	2
	225	55459	55891	299	41	47	2	-1	2
	224	55892	56153	245	117	115	2	-1	2
	223	56154	56267	-1	216	212	2	-1	2
	222	56268	56406	366	127	129	2	-1	2
	221	56407	57689	298	6	11	2	-1	2
	220	57690	58798	304	97	94	2	-1	2
	219	58799	59171	306	142	143	2	-1	2
	218	59172	60352	370	140	137	2	-1	2
	217	60353	60363	-1	-1	-1	1	-1	1
	216	60364	60512	223	-1	-1	1	-1	1
	215	60513	60573	-1	-1	-1	1	-1	1
	214	60574	60811	-1	-1	-1	1	-1	1
	213	60812	61009	-1	-1	-1	1	-1	1
	212	61010	61194	223	-1	-1	1	-1	1
	211	61195	61407	-1	-1	-1	1	-1	1
	210	61408	61515	-1	-1	-1	1	-1	1
	209	61516	61757	265	-1	-1	1	-1	1
	208	61758	61943	-1	-1	-1	1	-1	1
	207	61944	62307	-1	-1	-1	1	-1	1
	206	62308	62561	252	-1	-1	1	-1	1
