time,prec
2018-10-08 10:30:00,0.6264
2018-10-09 10:30:00,0.107999995
2018-10-10 10:30:00,0.0108
2018-10-11 10:30:00,0.0
2018-10-12 10:30:00,0.0
2018-10-13 10:30:00,0.0
2018-10-14 10:30:00,0.0
2018-10-15 10:30:00,0.0
2018-10-16 10:30:00,0.0
2018-10-17 10:30:00,0.0
2018-10-18 10:30:00,0.0
2018-10-19 10:30:00,0.0
2018-10-20 10:30:00,0.0
2018-10-21 10:30:00,0.648
2018-10-22 10:30:00,0.0
2018-10-23 10:30:00,0.0
2018-10-24 10:30:00,0.0
2018-10-25 10:30:00,5.1299996
2018-10-26 10:30:00,3.186
2018-10-27 10:30:00,0.0108
2018-10-28 10:30:00,0.0756
2018-10-29 10:30:00,0.0
2018-10-30 10:30:00,0.0
2018-10-31 10:30:00,0.0
2018-11-01 10:30:00,0.0
2018-11-02 10:30:00,0.0
2018-11-03 10:30:00,0.6372
2018-11-04 10:30:00,0.107999995
2018-11-05 10:30:00,0.1728
2018-11-06 10:30:00,0.0
2018-11-07 10:30:00,0.0
2018-11-08 10:30:00,0.0
2018-11-09 10:30:00,0.0324
2018-11-10 10:30:00,0.0
2018-11-11 10:30:00,0.0
2018-11-12 10:30:00,0.0
2018-11-13 10:30:00,0.0
2018-11-14 10:30:00,0.053999998
2018-11-15 10:30:00,0.0
2018-11-16 10:30:00,0.0
2018-11-17 10:30:00,0.26999998
2018-11-18 10:30:00,0.0108
2018-11-19 10:30:00,0.0324
2018-11-20 10:30:00,0.0
2018-11-21 10:30:00,0.0
2018-11-22 10:30:00,0.0
2018-11-23 10:30:00,0.0
2018-11-24 10:30:00,0.0
2018-11-25 10:30:00,0.0
2018-11-26 10:30:00,1.4472001
2018-11-27 10:30:00,0.27
2018-11-28 10:30:00,0.0
2018-11-29 10:30:00,0.0
2018-11-30 10:30:00,0.0324
2018-12-01 10:30:00,0.0
2018-12-02 10:30:00,0.57240003
2018-12-03 10:30:00,0.19440001
2018-12-04 10:30:00,0.0
2018-12-05 10:30:00,0.0324
2018-12-06 10:30:00,0.5076
2018-12-07 10:30:00,0.41039997
2018-12-08 10:30:00,0.0
2018-12-09 10:30:00,0.0
2018-12-10 10:30:00,0.0
2018-12-11 10:30:00,0.0108
2018-12-12 10:30:00,0.82080007
2018-12-13 10:30:00,0.0
2018-12-14 10:30:00,0.0
2018-12-15 10:30:00,0.0
2018-12-16 10:30:00,0.0216
2018-12-17 10:30:00,0.162
2018-12-18 10:30:00,0.18360001
2018-12-19 10:30:00,0.0
2018-12-20 10:30:00,0.1728
2018-12-21 10:30:00,0.1512
2018-12-22 10:30:00,0.1512
2018-12-23 10:30:00,0.0
2018-12-24 10:30:00,0.2916
2018-12-25 10:30:00,0.0432
2018-12-26 10:30:00,0.0324
2018-12-27 10:30:00,0.0
2018-12-28 10:30:00,0.0
2018-12-29 10:30:00,0.0
2018-12-30 10:30:00,0.0
2018-12-31 10:30:00,0.0
2019-01-01 10:30:00,0.0324
2019-01-02 10:30:00,0.0
2019-01-03 10:30:00,0.83160007
2019-01-04 10:30:00,0.78840005
2019-01-05 10:30:00,0.0
2019-01-06 10:30:00,0.0
2019-01-07 10:30:00,0.097200006
2019-01-08 10:30:00,0.0108
2019-01-09 10:30:00,0.0
2019-01-10 10:30:00,0.0
2019-01-11 10:30:00,0.0
2019-01-12 10:30:00,0.0
2019-01-13 10:30:00,0.0324
2019-01-14 10:30:00,0.097200006
2019-01-15 10:30:00,0.0
2019-01-16 10:30:00,0.0
2019-01-17 10:30:00,0.0108
2019-01-18 10:30:00,0.0
2019-01-19 10:30:00,0.0108
2019-01-20 10:30:00,0.0
2019-01-21 10:30:00,0.0
2019-01-22 10:30:00,0.0216
2019-01-23 10:30:00,0.053999998
2019-01-24 10:30:00,0.19440001
2019-01-25 10:30:00,0.0
2019-01-26 10:30:00,0.0
2019-01-27 10:30:00,1.3932
2019-01-28 10:30:00,0.0
2019-01-29 10:30:00,0.7128
2019-01-30 10:30:00,0.0756
2019-01-31 10:30:00,0.0
2019-02-01 10:30:00,0.0108
2019-02-02 10:30:00,0.0648
2019-02-03 10:30:00,0.0216
2019-02-04 10:30:00,0.0216
2019-02-05 10:30:00,0.0
2019-02-06 10:30:00,0.0
2019-02-07 10:30:00,0.0
2019-02-08 10:30:00,0.0
2019-02-09 10:30:00,0.0
2019-02-10 10:30:00,0.0
2019-02-11 10:30:00,0.0
2019-02-12 10:30:00,0.0
2019-02-13 10:30:00,0.0
2019-02-14 10:30:00,0.0108
2019-02-15 10:30:00,0.0
2019-02-16 10:30:00,0.0
2019-02-17 10:30:00,0.0
2019-02-18 10:30:00,0.0216
2019-02-19 10:30:00,0.09719999
2019-02-20 10:30:00,0.0
2019-02-21 10:30:00,0.0
